time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-01T22:25:47.740Z,33.349,-117.5866667,13.99,1.4,ml,37,196,0.03889,0.13,ci,ci40152823,2023-01-05T16:52:50.714Z,"9km SSE of San Clemente, CA",earthquake,0.27,0.27,0.062,21,reviewed,ci,ci
2023-01-01T22:22:12.111Z,58.6072,-151.435,61.9,2,ml,,,,0.45,ak,ak02320rmi7,2023-01-23T17:35:51.184Z,"85 km SSE of Port Graham, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2023-01-01T22:19:27.780Z,-19.0542,-177.6062,496.363,4.4,mb,78,41,3.087,0.56,us,us7000j1hf,2023-03-11T22:51:30.040Z,"Fiji region",earthquake,6.46,6.435,0.087,38,reviewed,us,us
2023-01-01T22:17:10.290Z,52.1243,-170.3677,35,2.9,ml,8,223,0.772,0.97,us,us7000j5ce,2023-03-11T22:51:52.040Z,"136 km SW of Nikolski, Alaska",earthquake,4.29,2.003,0.128,8,reviewed,us,us
2023-01-01T22:15:30.390Z,37.7896667,-121.9483333,10.65,1.32,md,23,65,0.07746,0.05,nc,nc73827661,2023-01-11T00:08:12.256Z,"3km ENE of San Ramon, CA",earthquake,0.31,0.4,0.189,14,reviewed,nc,nc
2023-01-01T22:14:48.120Z,51.914,179.585166666667,8.16,1.17,ml,4,130,,0.05,av,av91082793,2023-01-04T19:34:30.050Z,"260 km W of Adak, Alaska",earthquake,0.46,0.62,0.265290913212949,4,reviewed,av,av
2023-01-01T22:08:06.478Z,62.3427,-151.0181,69.6,1.4,ml,,,,0.43,ak,ak02320olyy,2023-01-23T17:35:50.592Z,"21 km SW of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-01-01T22:04:30.310Z,33.2511667,-116.1981667,10.26,1.77,ml,62,40,0.07477,0.2,ci,ci40152815,2023-01-05T16:22:10.290Z,"14km NNW of Ocotillo Wells, CA",earthquake,0.18,0.44,0.115,42,reviewed,ci,ci
2023-01-01T22:04:18.840Z,19.4214992523193,-155.285003662109,-0.379999995231628,1.78999996,md,12,141,,0.129999995,hv,hv73291167,2023-01-01T22:07:18.290Z,"5 km WSW of Volcano, Hawaii",earthquake,0.19,0.300000012,1.10000002,6,automatic,hv,hv
2023-01-01T22:03:53.440Z,49.335166666666666,-120.48933333333333,-0.51,2.14,ml,6,232,0.5654,0.1,uw,uw61901166,2023-01-01T23:12:03.980Z,"13 km S of Princeton, Canada",explosion,1.38,31.61,0.13049108749713878,5,reviewed,uw,uw
2023-01-01T21:59:00.724Z,38.0399,72.3573,117.822,4,mb,26,126,1.5,0.86,us,us7000j1hb,2023-03-11T22:51:30.040Z,"Tajikistan",earthquake,6.87,9.868,0.196,7,reviewed,us,us
2023-01-01T21:58:04.340Z,37.7886667,-121.9496667,10.48,1.31,md,18,64,0.07788,0.04,nc,nc73827656,2023-01-10T23:32:12.023Z,"3km ENE of San Ramon, CA",earthquake,0.26,0.51,0.12,11,reviewed,nc,nc
2023-01-01T21:58:03.250Z,33.493,-116.4363333,12.93,0.88,ml,14,203,0.03159,0.12,ci,ci37485732,2023-01-05T16:08:24.372Z,"22km SSW of La Quinta, CA",earthquake,0.37,0.47,0.031,3,reviewed,ci,ci
2023-01-01T21:57:56.320Z,33.4776667,-116.4253333,13.54,0.78,ml,28,80,0.04561,0.17,ci,ci40152807,2023-01-05T16:02:17.137Z,"23km SSW of La Quinta, CA",earthquake,0.28,0.51,0.145,10,reviewed,ci,ci
2023-01-01T21:55:08.183Z,31.3366,140.9507,56.524,4.5,mb,55,98,2.018,0.78,us,us7000j1hc,2024-01-18T19:08:06.219Z,"Izu Islands, Japan region",earthquake,8.27,4.793,0.108,25,reviewed,us,us
2023-01-01T21:54:13.349Z,61.8496,-149.8545,47.4,1.3,ml,,,,0.28,ak,ak02320d1w6,2023-01-18T21:27:03.396Z,"Southern Alaska",earthquake,,1,,,reviewed,ak,ak
2023-01-01T21:53:11.780Z,37.7861667,-121.9495,10.53,0.88,md,13,163,0.08019,0.04,nc,nc73827651,2023-01-02T17:50:13.323Z,"3km ENE of San Ramon, CA",earthquake,0.31,0.41,0.149,10,reviewed,nc,nc
2023-01-01T21:42:42.820Z,18.0005,-66.9155,14.15,2.28,md,7,130,0.04278,0.08,pr,pr71390273,2023-01-01T22:02:13.430Z,"1 km N of Fuig, Puerto Rico",earthquake,0.43,0.47,0.0759664385553751,6,reviewed,pr,pr
